seed,obj,max_rho
42,21236.95389194549,0.069
43,23169.994204106508,0.1415
44,21246.030386643753,0.0675
45,21593.974759201566,0.0645
46,23960.918139262983,0.0595
47,21654.108714101047,0.073
48,21336.2908337011,0.064
49,22447.91736554256,0.0675
50,21634.11024899818,0.0665
51,21053.845090216855,0.0805
