50Hz-Actual,50Hz-Forecast,AMP-Actual,AMP-Forecast,AT-Actual,AT-Forecast,PL-Actual,PL-Forecast,TBW-Actual,TBW-Forecast,TTG-Actual,TTG-Forecast,TTGf-Actual,TTGf-Forecast,50Hzf-Actual,50Hzf-Forecast,FR-Actual,FR-Forecast,FRf-Actual,FRf-Forecast
"240,0","560,0","121,0","227,0","2 128,0","1 692,0","1 968,0","1 447,0","12,0","29,0","689,0","903,0","796,0","1 088,0","941,0","958,0","3 360,0","4 603,0","126,0","504,0"
"240,0","574,0","126,0","222,0","2 120,0","1 756,0","2 079,0","1 472,0","12,0","29,0","711,0","918,0","681,0","1 046,0","1 003,0","1 000,0","3 259,0","4 603,0","94,0","504,0"
"261,0","580,0","128,0","222,0","2 116,0","1 816,0","2 000,0","1 522,0","11,0","30,0","778,0","920,0","766,0","1 137,0","1 256,0","1 045,0","3 264,0","4 105,0","101,0","364,0"
"311,0","581,0","155,0","228,0","2 124,0","1 864,0","2 042,0","1 580,0","14,0","30,0","1 039,0","940,0","884,0","1 112,0","1 315,0","1 090,0","3 241,0","4 105,0","111,0","364,0"
"364,0","582,0","171,0","235,0","2 140,0","1 916,0","2 055,0","1 638,0","18,0","31,0","1 071,0","961,0","982,0","1 087,0","1 368,0","1 135,0","3 174,0","4 105,0","126,0","364,0"
"372,0","583,0","189,0","243,0","2 196,0","1 964,0","2 055,0","1 696,0","19,0","33,0","1 090,0","989,0","998,0","1 058,0","1 402,0","1 180,0","3 183,0","4 105,0","119,0","364,0"
"366,0","577,0","188,0","253,0","2 296,0","2 012,0","2 054,0","1 811,0","20,0","38,0","1 051,0","1 028,0","948,0","1 046,0","1 390,0","1 225,0","3 205,0","4 025,0","108,0","301,0"
"354,0","563,0","207,0","272,0","2 332,0","2 044,0","2 088,0","1 943,0","22,0","44,0","1 134,0","1 074,0","995,0","1 045,0","1 438,0","1 262,0","3 244,0","4 025,0","88,0","301,0"
"360,0","545,0","220,0","282,0","2 364,0","2 076,0","2 108,0","2 075,0","25,0","48,0","1 147,0","1 107,0","1 017,0","1 048,0","1 478,0","1 300,0","3 332,0","4 025,0","88,0","301,0"
"348,0","526,0","230,0","293,0","2 432,0","2 108,0","2 134,0","2 208,0","24,0","53,0","1 179,0","1 154,0","1 003,0","1 053,0","1 389,0","1 336,0","3 284,0","4 025,0","81,0","301,0"
"339,0","504,0","242,0","302,0","2 448,0","2 140,0","2 199,0","2 381,0","30,0","57,0","1 220,0","1 204,0","1 068,0","1 070,0","1 410,0","1 367,0","3 338,0","4 237,0","64,0","312,0"
"341,0","494,0","239,0","339,0","2 416,0","2 164,0","2 231,0","2 577,0","40,0","74,0","1 306,0","1 298,0","1 126,0","1 096,0","1 428,0","1 389,0","3 305,0","4 237,0","38,0","312,0"
"349,0","486,0","247,0","383,0","2 396,0","2 188,0","2 341,0","2 774,0","36,0","89,0","1 310,0","1 392,0","1 172,0","1 131,0","1 448,0","1 411,0","3 259,0","4 237,0","27,0","312,0"
"378,0","479,0","260,0","452,0","2 384,0","2 220,0","2 525,0","2 970,0","44,0","105,0","1 324,0","1 492,0","1 221,0","1 163,0","1 485,0","1 435,0","3 256,0","4 237,0","31,0","312,0"
"396,0","483,0","284,0","531,0","2 400,0","2 256,0","2 654,0","3 192,0","51,0","121,0","1 317,0","1 600,0","1 241,0","1 205,0","1 518,0","1 450,0","3 277,0","4 512,0","29,0","366,0"
"394,0","498,0","311,0","667,0","2 504,0","2 336,0","2 777,0","3 426,0","73,0","140,0","1 332,0","1 778,0","1 275,0","1 264,0","1 552,0","1 458,0","3 306,0","4 512,0","20,0","366,0"
"409,0","512,0","354,0","808,0","2 640,0","2 412,0","3 029,0","3 660,0","88,0","160,0","1 406,0","1 954,0","1 352,0","1 324,0","1 587,0","1 466,0","3 271,0","4 512,0","17,0","366,0"
"442,0","527,0","443,0","956,0","2 760,0","2 492,0","3 251,0","3 895,0","107,0","179,0","1 649,0","2 139,0","1 401,0","1 384,0","1 581,0","1 474,0","3 345,0","4 512,0","19,0","366,0"
"442,0","541,0","582,0","1 106,0","2 852,0","2 564,0","3 425,0","4 060,0","133,0","198,0","1 878,0","2 312,0","1 419,0","1 438,0","1 558,0","1 477,0","3 459,0","4 803,0","22,0","343,0"
"430,0","547,0","723,0","1 264,0","2 852,0","2 608,0","3 585,0","4 202,0","151,0","212,0","2 031,0","2 454,0","1 411,0","1 501,0","1 529,0","1 473,0","3 572,0","4 803,0","34,0","343,0"
"414,0","553,0","884,0","1 416,0","2 832,0","2 656,0","3 773,0","4 343,0","171,0","226,0","2 156,0","2 596,0","1 420,0","1 560,0","1 498,0","1 469,0","3 657,0","4 803,0","48,0","343,0"
"394,0","555,0","1 046,0","1 536,0","2 856,0","2 700,0","3 991,0","4 485,0","197,0","240,0","2 246,0","2 686,0","1 459,0","1 624,0","1 469,0","1 464,0","3 631,0","4 803,0","66,0","343,0"
"371,0","556,0","1 194,0","1 635,0","2 948,0","2 736,0","4 235,0","4 534,0","229,0","254,0","2 332,0","2 763,0","1 527,0","1 676,0","1 440,0","1 454,0","3 547,0","4 877,0","95,0","314,0"
"339,0","555,0","1 349,0","1 715,0","3 016,0","2 748,0","4 387,0","4 542,0","258,0","268,0","2 379,0","2 811,0","1 560,0","1 701,0","1 433,0","1 433,0","3 482,0","4 877,0","110,0","314,0"
"315,0","554,0","1 534,0","1 779,0","3 036,0","2 764,0","4 460,0","4 550,0","279,0","281,0","2 419,0","2 829,0","1 580,0","1 723,0","1 444,0","1 411,0","3 324,0","4 877,0","134,0","314,0"
"304,0","551,0","1 711,0","1 830,0","3 024,0","2 776,0","4 649,0","4 559,0","289,0","295,0","2 483,0","2 815,0","1 589,0","1 738,0","1 464,0","1 389,0","3 219,0","4 877,0","155,0","314,0"
"286,0","543,0","1 860,0","1 882,0","3 008,0","2 780,0","4 720,0","4 526,0","290,0","310,0","2 553,0","2 775,0","1 680,0","1 744,0","1 493,0","1 360,0","3 144,0","4 623,0","152,0","408,0"
"261,0","531,0","1 980,0","1 914,0","3 020,0","2 768,0","4 682,0","4 476,0","302,0","321,0","2 576,0","2 683,0","1 754,0","1 693,0","1 512,0","1 315,0","3 013,0","4 623,0","131,0","408,0"
"243,0","519,0","2 077,0","1 927,0","2 992,0","2 756,0","4 594,0","4 427,0","296,0","327,0","2 550,0","2 575,0","1 724,0","1 639,0","1 484,0","1 271,0","2 831,0","4 623,0","128,0","408,0"
"227,0","506,0","2 119,0","1 918,0","2 996,0","2 740,0","4 644,0","4 378,0","310,0","328,0","2 532,0","2 454,0","1 604,0","1 587,0","1 436,0","1 229,0","2 735,0","4 623,0","158,0","408,0"
"203,0","496,0","2 129,0","1 892,0","2 940,0","2 728,0","4 692,0","4 335,0","322,0","327,0","2 490,0","2 320,0","1 421,0","1 519,0","1 379,0","1 185,0","2 727,0","4 554,0","180,0","467,0"
"187,0","488,0","2 144,0","1 859,0","2 872,0","2 708,0","4 740,0","4 305,0","290,0","324,0","2 416,0","2 178,0","1 322,0","1 426,0","1 308,0","1 139,0","2 680,0","4 554,0","203,0","467,0"
"174,0","480,0","2 142,0","1 825,0","2 824,0","2 688,0","4 591,0","4 275,0","289,0","321,0","2 309,0","2 034,0","1 236,0","1 332,0","1 266,0","1 094,0","2 586,0","4 554,0","219,0","467,0"
"170,0","473,0","2 115,0","1 770,0","2 824,0","2 672,0","4 544,0","4 245,0","307,0","315,0","2 230,0","1 879,0","1 243,0","1 245,0","1 224,0","1 048,0","2 519,0","4 554,0","203,0","467,0"
"150,0","455,0","2 025,0","1 707,0","2 780,0","2 656,0","4 452,0","4 190,0","295,0","307,0","2 145,0","1 739,0","1 276,0","1 162,0","1 204,0","1 002,0","2 463,0","4 000,0","192,0","471,0"
"146,0","431,0","1 961,0","1 639,0","2 792,0","2 660,0","4 428,0","4 123,0","280,0","294,0","2 033,0","1 639,0","1 231,0","1 082,0","1 165,0","949,0","2 378,0","4 000,0","226,0","471,0"
"138,0","407,0","1 871,0","1 564,0","2 868,0","2 664,0","4 402,0","4 055,0","259,0","281,0","1 882,0","1 539,0","1 178,0","998,0","1 104,0","895,0","2 352,0","4 000,0","272,0","471,0"
"138,0","383,0","1 754,0","1 485,0","2 968,0","2 668,0","4 330,0","3 988,0","272,0","269,0","1 790,0","1 440,0","1 149,0","915,0","1 069,0","842,0","2 366,0","4 000,0","243,0","471,0"
"138,0","366,0","1 656,0","1 402,0","3 020,0","2 672,0","4 268,0","3 901,0","279,0","256,0","1 642,0","1 344,0","1 119,0","843,0","1 033,0","790,0","2 352,0","4 091,0","255,0","388,0"
"136,0","356,0","1 557,0","1 329,0","3 056,0","2 668,0","4 159,0","3 794,0","259,0","249,0","1 484,0","1 258,0","1 107,0","783,0","990,0","743,0","2 224,0","4 091,0","233,0","388,0"
"135,0","346,0","1 453,0","1 255,0","3 032,0","2 664,0","3 985,0","3 686,0","258,0","242,0","1 339,0","1 172,0","1 051,0","725,0","949,0","696,0","2 184,0","4 091,0","202,0","388,0"
"139,0","337,0","1 374,0","1 190,0","2 940,0","2 656,0","3 941,0","3 578,0","244,0","235,0","1 196,0","1 100,0","1 036,0","670,0","906,0","649,0","2 137,0","4 091,0","195,0","388,0"
"137,0","0,0","1 279,0","1 265,0","2 584,0","2 568,0","3 935,0","3 782,0","237,0","219,0","1 053,0","871,0","1 044,0","871,0","884,0","960,0","2 188,0","2 604,0","1 191,0","1 198,0"
"129,0","2,0","1 184,0","1 184,0","2 568,0","2 580,0","3 874,0","3 767,0","226,0","217,0","981,0","822,0","963,0","822,0","873,0","916,0","2 304,0","2 604,0","1 168,0","1 198,0"
"135,0","4,0","1 110,0","1 117,0","2 552,0","2 572,0","3 801,0","3 679,0","195,0","213,0","906,0","770,0","842,0","770,0","873,0","875,0","2 444,0","2 604,0","1 168,0","1 198,0"
