50Hz-Actual,50Hz-Forecast,AMP-Actual,AMP-Forecast,AT-Actual,AT-Forecast,PL-Actual,PL-Forecast,TBW-Actual,TBW-Forecast,TTG-Actual,TTG-Forecast,TTGf-Actual,TTGf-Forecast,50Hzf-Actual,50Hzf-Forecast,FR-Actual,FR-Forecast,FRf-Actual,FRf-Forecast
"1 517,0","1 510,0","1 988,0","1 940,0","1 196,0","1 484,0","339,0","369,0","541,0","578,0","1 182,0","1 236,0","1 511,0","1 682,0","14,0","22,0","4 320,0","3 831,0","231,0","294,0"
"1 510,0","1 492,0","2 076,0","1 972,0","1 400,0","1 620,0","356,0","358,0","549,0","564,0","1 267,0","1 204,0","1 555,0","1 708,0","25,0","25,0","4 260,0","3 831,0","222,0","294,0"
"1 515,0","1 475,0","2 139,0","2 003,0","1 528,0","1 692,0","381,0","352,0","586,0","584,0","1 297,0","1 218,0","1 687,0","1 579,0","29,0","29,0","4 229,0","3 831,0","222,0","294,0"
"1 458,0","1 461,0","2 144,0","2 032,0","1 692,0","1 852,0","403,0","346,0","546,0","590,0","1 319,0","1 332,0","1 695,0","1 555,0","29,0","32,0","4 175,0","3 831,0","239,0","294,0"
"1 408,0","1 420,0","2 210,0","2 046,0","1 860,0","1 976,0","404,0","351,0","485,0","622,0","1 321,0","1 390,0","1 531,0","1 542,0","19,0","32,0","4 128,0","3 566,0","234,0","302,0"
"1 354,0","1 396,0","2 287,0","2 074,0","2 048,0","2 016,0","400,0","343,0","460,0","573,0","1 401,0","1 464,0","1 515,0","1 560,0","15,0","31,0","4 083,0","3 566,0","233,0","302,0"
"1 279,0","1 358,0","2 258,0","2 097,0","2 180,0","2 100,0","416,0","307,0","454,0","537,0","1 457,0","1 495,0","1 536,0","1 555,0","15,0","34,0","4 066,0","3 566,0","248,0","302,0"
"1 256,0","1 320,0","2 251,0","2 112,0","2 252,0","2 188,0","404,0","290,0","439,0","509,0","1 484,0","1 527,0","1 560,0","1 541,0","20,0","38,0","4 058,0","3 566,0","253,0","302,0"
"1 229,0","1 298,0","2 247,0","2 119,0","2 320,0","2 260,0","401,0","277,0","438,0","495,0","1 496,0","1 580,0","1 536,0","1 465,0","32,0","44,0","4 124,0","3 454,0","245,0","305,0"
"1 174,0","1 273,0","2 230,0","2 126,0","2 336,0","2 260,0","472,0","279,0","493,0","475,0","1 508,0","1 643,0","1 526,0","1 459,0","43,0","49,0","4 211,0","3 454,0","242,0","305,0"
"1 128,0","1 242,0","2 199,0","2 132,0","2 252,0","2 248,0","490,0","300,0","473,0","474,0","1 589,0","1 661,0","1 454,0","1 458,0","43,0","52,0","4 271,0","3 454,0","238,0","305,0"
"1 088,0","1 215,0","2 141,0","2 132,0","2 112,0","2 228,0","480,0","367,0","425,0","509,0","1 642,0","1 675,0","1 389,0","1 483,0","39,0","52,0","4 317,0","3 454,0","232,0","305,0"
"1 033,0","1 194,0","2 185,0","2 196,0","1 908,0","2 196,0","457,0","382,0","415,0","495,0","1 688,0","1 699,0","1 488,0","1 469,0","30,0","50,0","4 316,0","3 396,0","226,0","318,0"
"971,0","1 162,0","2 129,0","2 173,0","1 736,0","2 116,0","463,0","395,0","414,0","454,0","1 744,0","1 751,0","1 591,0","1 450,0","32,0","52,0","4 284,0","3 396,0","226,0","318,0"
"934,0","1 138,0","2 063,0","2 151,0","1 648,0","2 032,0","462,0","402,0","426,0","463,0","1 803,0","1 813,0","1 589,0","1 422,0","48,0","57,0","4 302,0","3 396,0","220,0","318,0"
"916,0","1 116,0","1 989,0","2 126,0","1 556,0","1 948,0","478,0","428,0","444,0","462,0","1 781,0","1 856,0","1 697,0","1 474,0","50,0","60,0","4 306,0","3 396,0","217,0","318,0"
"934,0","1 097,0","1 942,0","2 101,0","1 424,0","1 848,0","485,0","444,0","462,0","458,0","1 795,0","1 903,0","1 873,0","1 525,0","39,0","58,0","4 281,0","3 339,0","197,0","327,0"
"988,0","1 082,0","1 899,0","2 063,0","1 280,0","1 760,0","499,0","456,0","489,0","461,0","1 768,0","1 946,0","1 810,0","1 572,0","31,0","57,0","4 251,0","3 339,0","207,0","327,0"
"990,0","1 078,0","1 898,0","2 022,0","1 228,0","1 700,0","502,0","466,0","514,0","486,0","1 825,0","1 956,0","1 836,0","1 580,0","28,0","58,0","4 287,0","3 339,0","230,0","327,0"
"988,0","1 048,0","1 853,0","1 981,0","1 140,0","1 636,0","523,0","474,0","480,0","510,0","1 868,0","1 919,0","1 867,0","1 642,0","32,0","59,0","4 222,0","3 339,0","264,0","327,0"
"981,0","1 028,0","1 814,0","1 940,0","1 044,0","1 564,0","526,0","487,0","486,0","521,0","1 914,0","1 927,0","1 732,0","1 669,0","50,0","66,0","4 109,0","3 206,0","284,0","322,0"
"958,0","1 007,0","1 761,0","1 902,0","1 076,0","1 508,0","531,0","503,0","464,0","503,0","1 920,0","1 970,0","1 723,0","1 654,0","61,0","73,0","4 099,0","3 206,0","303,0","322,0"
"945,0","983,0","1 730,0","1 865,0","1 116,0","1 452,0","539,0","514,0","467,0","506,0","1 922,0","1 980,0","1 758,0","1 621,0","66,0","79,0","4 041,0","3 206,0","307,0","322,0"
"955,0","961,0","1 715,0","1 824,0","1 128,0","1 412,0","474,0","497,0","491,0","482,0","1 952,0","2 002,0","1 775,0","1 641,0","68,0","83,0","3 957,0","3 206,0","303,0","322,0"
"953,0","946,0","1 725,0","1 717,0","1 136,0","1 372,0","433,0","466,0","477,0","481,0","1 981,0","2 008,0","1 655,0","1 588,0","67,0","85,0","3 949,0","3 015,0","286,0","309,0"
"923,0","923,0","1 747,0","1 674,0","1 104,0","1 344,0","433,0","420,0","484,0","492,0","1 988,0","2 020,0","1 605,0","1 587,0","75,0","92,0","3 871,0","3 015,0","267,0","309,0"
"918,0","895,0","1 748,0","1 625,0","1 032,0","1 316,0","479,0","416,0","488,0","480,0","1 966,0","2 043,0","1 600,0","1 553,0","90,0","100,0","3 772,0","3 015,0","261,0","309,0"
"923,0","876,0","1 742,0","1 570,0","1 008,0","1 288,0","498,0","431,0","479,0","490,0","1 973,0","2 078,0","1 589,0","1 499,0","92,0","106,0","3 740,0","3 015,0","255,0","309,0"
"954,0","868,0","1 734,0","1 508,0","1 000,0","1 256,0","467,0","447,0","475,0","490,0","1 982,0","2 071,0","1 587,0","1 477,0","105,0","112,0","3 832,0","3 467,0","262,0","278,0"
"975,0","872,0","1 713,0","1 451,0","952,0","1 208,0","489,0","563,0","476,0","473,0","1 995,0","2 044,0","1 545,0","1 449,0","146,0","132,0","3 887,0","3 467,0","272,0","278,0"
"961,0","869,0","1 642,0","1 404,0","908,0","1 164,0","534,0","569,0","485,0","461,0","2 061,0","2 058,0","1 487,0","1 406,0","188,0","155,0","3 900,0","3 467,0","278,0","278,0"
"921,0","856,0","1 559,0","1 363,0","932,0","1 116,0","535,0","575,0","452,0","449,0","2 104,0","2 073,0","1 389,0","1 370,0","217,0","171,0","3 843,0","3 467,0","286,0","278,0"
"898,0","830,0","1 448,0","1 327,0","940,0","1 064,0","498,0","572,0","442,0","436,0","2 152,0","2 075,0","1 322,0","1 326,0","223,0","178,0","3 732,0","3 141,0","320,0","254,0"
"892,0","788,0","1 391,0","1 293,0","888,0","1 008,0","475,0","564,0","433,0","422,0","2 173,0","2 068,0","1 206,0","1 268,0","249,0","196,0","3 614,0","3 141,0","359,0","254,0"
"885,0","752,0","1 321,0","1 259,0","796,0","952,0","477,0","555,0","420,0","409,0","2 168,0","2 063,0","1 163,0","1 208,0","278,0","210,0","3 499,0","3 141,0","358,0","254,0"
"862,0","715,0","1 307,0","1 230,0","688,0","896,0","476,0","546,0","395,0","393,0","2 181,0","2 048,0","1 145,0","1 148,0","299,0","219,0","3 334,0","3 141,0","315,0","254,0"
"833,0","826,0","1 252,0","1 201,0","636,0","840,0","498,0","544,0","379,0","383,0","2 318,0","2 032,0","1 150,0","1 096,0","333,0","287,0","3 151,0","3 049,0","276,0","236,0"
"802,0","810,0","1 205,0","1 182,0","648,0","800,0","540,0","548,0","361,0","373,0","2 282,0","2 012,0","1 210,0","1 069,0","359,0","294,0","2 945,0","3 049,0","247,0","236,0"
"786,0","794,0","1 127,0","1 164,0","660,0","760,0","560,0","553,0","330,0","362,0","2 298,0","1 992,0","1 149,0","1 040,0","368,0","300,0","2 740,0","3 049,0","223,0","236,0"
"773,0","778,0","1 141,0","1 147,0","660,0","712,0","583,0","561,0","290,0","353,0","2 301,0","1 977,0","1 018,0","1 009,0","373,0","307,0","2 699,0","3 049,0","205,0","236,0"
"764,0","776,0","1 171,0","1 132,0","636,0","676,0","617,0","584,0","240,0","343,0","2 259,0","1 959,0","1 035,0","975,0","369,0","312,0","2 639,0","2 690,0","204,0","206,0"
"783,0","798,0","1 193,0","1 115,0","656,0","668,0","661,0","617,0","234,0","330,0","2 193,0","1 953,0","925,0","967,0","349,0","317,0","2 699,0","2 690,0","191,0","206,0"
"810,0","819,0","1 194,0","1 098,0","704,0","660,0","688,0","653,0","231,0","318,0","2 142,0","1 944,0","783,0","957,0","321,0","323,0","2 840,0","2 690,0","180,0","206,0"
"838,0","841,0","1 200,0","1 081,0","756,0","652,0","713,0","692,0","212,0","304,0","2 060,0","1 932,0","743,0","950,0","292,0","328,0","3 067,0","2 690,0","168,0","206,0"
"856,0","870,0","1 217,0","1 066,0","808,0","644,0","737,0","750,0","204,0","291,0","2 084,0","1 932,0","786,0","939,0","264,0","334,0","3 232,0","2 584,0","170,0","183,0"
"904,0","907,0","1 228,0","1 057,0","812,0","636,0","751,0","811,0","178,0","278,0","2 043,0","1 951,0","763,0","919,0","239,0","337,0","3 341,0","2 584,0","164,0","183,0"
"923,0","944,0","1 188,0","1 049,0","912,0","624,0","794,0","869,0","193,0","266,0","1 935,0","1 968,0","766,0","898,0","229,0","340,0","3 442,0","2 584,0","160,0","183,0"
"935,0","984,0","1 194,0","1 048,0","940,0","616,0","846,0","924,0","185,0","252,0","1 918,0","1 986,0","774,0","880,0","224,0","348,0","3 483,0","2 584,0","156,0","183,0"
"975,0","1 025,0","1 178,0","1 046,0","944,0","604,0","887,0","977,0","182,0","239,0","1 949,0","2 015,0","911,0","867,0","218,0","350,0","3 656,0","3 035,0","154,0","150,0"
"1 054,0","1 068,0","1 128,0","1 047,0","968,0","576,0","936,0","1 025,0","158,0","226,0","1 952,0","2 045,0","1 067,0","853,0","231,0","347,0","3 720,0","3 035,0","153,0","150,0"
"1 173,0","1 114,0","1 069,0","1 054,0","932,0","548,0","984,0","1 072,0","142,0","212,0","1 919,0","2 078,0","1 148,0","838,0","276,0","343,0","3 810,0","3 035,0","143,0","150,0"
"1 282,0","1 162,0","1 065,0","1 067,0","864,0","520,0","1 053,0","1 118,0","130,0","198,0","1 928,0","2 107,0","1 215,0","821,0","327,0","340,0","3 915,0","3 035,0","119,0","150,0"
"1 369,0","1 215,0","1 058,0","1 086,0","668,0","488,0","1 015,0","1 164,0","128,0","184,0","1 928,0","2 143,0","1 215,0","805,0","326,0","335,0","3 915,0","3 479,0","109,0","140,0"
"1 411,0","1 274,0","1 014,0","1 111,0","604,0","460,0","1 086,0","1 211,0","115,0","173,0","1 955,0","2 183,0","1 189,0","803,0","308,0","332,0","3 835,0","3 479,0","114,0","140,0"
"1 462,0","1 334,0","1 028,0","1 138,0","592,0","432,0","1 163,0","1 258,0","115,0","164,0","2 054,0","2 222,0","1 147,0","793,0","299,0","328,0","3 759,0","3 479,0","141,0","140,0"
"1 524,0","1 394,0","1 071,0","1 164,0","556,0","404,0","1 256,0","1 306,0","85,0","157,0","2 159,0","2 256,0","1 109,0","784,0","293,0","325,0","3 740,0","3 479,0","163,0","140,0"
"1 636,0","1 462,0","1 172,0","1 188,0","496,0","376,0","1 246,0","1 351,0","85,0","150,0","2 153,0","2 258,0","1 128,0","734,0","246,0","322,0","3 712,0","3 713,0","149,0","163,0"
"1 733,0","1 538,0","1 269,0","1 212,0","468,0","352,0","1 208,0","1 397,0","102,0","144,0","2 096,0","2 282,0","1 137,0","714,0","229,0","323,0","3 769,0","3 713,0","150,0","163,0"
"1 849,0","1 615,0","1 248,0","1 235,0","460,0","332,0","1 257,0","1 442,0","89,0","138,0","2 060,0","2 307,0","1 120,0","704,0","248,0","324,0","3 844,0","3 713,0","151,0","163,0"
"1 991,0","1 690,0","1 297,0","1 256,0","404,0","308,0","1 294,0","1 487,0","78,0","133,0","2 014,0","2 326,0","1 125,0","702,0","250,0","324,0","3 774,0","3 713,0","154,0","163,0"
"2 099,0","1 763,0","1 325,0","1 276,0","324,0","284,0","1 214,0","1 532,0","75,0","127,0","2 003,0","2 334,0","1 087,0","687,0","276,0","324,0","3 772,0","3 957,0","164,0","180,0"
"2 181,0","1 830,0","1 368,0","1 282,0","408,0","264,0","1 224,0","1 575,0","97,0","121,0","2 048,0","2 323,0","1 063,0","680,0","295,0","324,0","3 903,0","3 957,0","152,0","180,0"
"2 229,0","1 897,0","1 289,0","1 287,0","480,0","244,0","1 218,0","1 618,0","125,0","114,0","2 101,0","2 307,0","1 035,0","673,0","283,0","324,0","3 890,0","3 957,0","152,0","180,0"
"2 337,0","1 964,0","1 292,0","1 290,0","448,0","224,0","1 233,0","1 662,0","121,0","107,0","1 994,0","2 297,0","955,0","658,0","248,0","324,0","3 924,0","3 957,0","156,0","180,0"
"2 473,0","2 028,0","1 304,0","1 287,0","424,0","204,0","1 251,0","1 699,0","84,0","100,0","1 856,0","2 262,0","885,0","651,0","272,0","322,0","3 958,0","4 168,0","163,0","199,0"
"2 642,0","2 088,0","1 282,0","1 266,0","324,0","192,0","1 211,0","1 730,0","69,0","92,0","1 757,0","2 169,0","879,0","637,0","286,0","314,0","3 987,0","4 168,0","188,0","199,0"
"2 746,0","2 147,0","1 210,0","1 243,0","316,0","180,0","1 235,0","1 761,0","76,0","84,0","1 647,0","2 077,0","919,0","621,0","308,0","306,0","4 116,0","4 168,0","210,0","199,0"
"2 879,0","2 206,0","1 231,0","1 219,0","308,0","168,0","1 209,0","1 792,0","62,0","76,0","1 626,0","1 982,0","936,0","606,0","341,0","297,0","4 311,0","4 168,0","227,0","199,0"
"3 004,0","2 259,0","1 249,0","1 195,0","276,0","160,0","1 203,0","1 848,0","61,0","67,0","1 584,0","1 891,0","936,0","600,0","418,0","285,0","4 412,0","4 074,0","274,0","270,0"
"3 015,0","2 308,0","1 288,0","1 174,0","272,0","156,0","1 264,0","1 908,0","57,0","64,0","1 474,0","1 820,0","1 015,0","608,0","532,0","267,0","4 427,0","4 074,0","300,0","270,0"
"3 029,0","2 357,0","1 357,0","1 153,0","264,0","148,0","1 290,0","1 969,0","47,0","60,0","1 424,0","1 753,0","1 061,0","613,0","484,0","250,0","4 424,0","4 074,0","302,0","270,0"
"3 093,0","2 405,0","1 381,0","1 133,0","288,0","144,0","1 341,0","2 029,0","43,0","57,0","1 456,0","1 680,0","1 054,0","624,0","439,0","232,0","4 330,0","4 074,0","320,0","270,0"
"3 161,0","2 452,0","1 324,0","1 117,0","320,0","140,0","1 434,0","2 091,0","55,0","54,0","1 456,0","1 624,0","1 049,0","637,0","410,0","214,0","4 335,0","3 696,0","364,0","456,0"
"3 196,0","2 496,0","1 261,0","1 136,0","316,0","144,0","1 554,0","2 164,0","69,0","54,0","1 466,0","1 617,0","1 059,0","661,0","366,0","198,0","4 307,0","3 696,0","398,0","456,0"
"3 238,0","2 539,0","1 227,0","1 157,0","312,0","148,0","1 538,0","2 237,0","101,0","55,0","1 466,0","1 610,0","1 014,0","684,0","222,0","182,0","4 222,0","3 696,0","475,0","456,0"
"3 280,0","2 578,0","1 237,0","1 179,0","284,0","152,0","1 560,0","2 310,0","104,0","57,0","1 400,0","1 605,0","996,0","710,0","124,0","166,0","4 211,0","3 696,0","528,0","456,0"
"3 307,0","2 613,0","1 235,0","1 201,0","240,0","160,0","1 573,0","2 376,0","98,0","59,0","1 365,0","1 598,0","1 032,0","727,0","96,0","151,0","4 340,0","4 468,0","566,0","584,0"
"3 370,0","2 642,0","1 296,0","1 224,0","232,0","172,0","1 680,0","2 437,0","92,0","62,0","1 378,0","1 589,0","1 065,0","745,0","87,0","141,0","4 515,0","4 468,0","602,0","584,0"
"3 465,0","2 670,0","1 384,0","1 252,0","244,0","180,0","1 757,0","2 498,0","92,0","65,0","1 399,0","1 579,0","1 095,0","762,0","53,0","131,0","4 634,0","4 468,0","605,0","584,0"
"3 505,0","2 696,0","1 412,0","1 284,0","260,0","192,0","1 838,0","2 558,0","94,0","70,0","1 410,0","1 568,0","1 130,0","775,0","27,0","120,0","4 727,0","4 468,0","613,0","584,0"
"3 438,0","2 698,0","1 431,0","1 326,0","268,0","204,0","1 957,0","2 584,0","100,0","77,0","1 409,0","1 552,0","1 142,0","785,0","17,0","113,0","4 905,0","5 247,0","645,0","641,0"
"3 439,0","2 667,0","1 474,0","1 369,0","296,0","220,0","1 971,0","2 608,0","95,0","83,0","1 361,0","1 537,0","1 179,0","780,0","7,0","112,0","4 985,0","5 247,0","705,0","641,0"
"3 453,0","2 631,0","1 496,0","1 404,0","320,0","236,0","1 961,0","2 631,0","89,0","88,0","1 305,0","1 527,0","1 192,0","771,0","1,0","110,0","5 133,0","5 247,0","726,0","641,0"
"3 444,0","2 591,0","1 524,0","1 432,0","340,0","252,0","2 097,0","2 655,0","92,0","91,0","1 264,0","1 516,0","1 205,0","765,0","3,0","109,0","5 331,0","5 247,0","726,0","641,0"
"3 333,0","2 543,0","1 535,0","1 455,0","352,0","272,0","2 164,0","2 676,0","104,0","94,0","1 214,0","1 503,0","1 198,0","750,0","13,0","109,0","5 458,0","5 674,0","693,0","707,0"
"3 174,0","2 488,0","1 550,0","1 473,0","352,0","296,0","2 014,0","2 687,0","105,0","97,0","1 223,0","1 486,0","1 182,0","738,0","24,0","112,0","5 615,0","5 674,0","679,0","707,0"
"3 077,0","2 433,0","1 539,0","1 490,0","356,0","324,0","1 983,0","2 697,0","117,0","99,0","1 186,0","1 468,0","1 133,0","716,0","51,0","116,0","5 718,0","5 674,0","699,0","707,0"
"3 099,0","2 376,0","1 522,0","1 498,0","368,0","348,0","1 921,0","2 708,0","125,0","101,0","1 181,0","1 447,0","1 059,0","699,0","78,0","119,0","5 835,0","5 674,0","724,0","707,0"
"3 059,0","2 323,0","1 463,0","1 499,0","380,0","372,0","1 884,0","2 711,0","120,0","103,0","1 157,0","1 425,0","1 047,0","675,0","77,0","124,0","5 833,0","5 908,0","728,0","683,0"
"3 183,0","2 283,0","1 470,0","1 485,0","364,0","384,0","1 880,0","2 713,0","135,0","108,0","1 104,0","1 387,0","1 005,0","640,0","62,0","130,0","5 914,0","5 908,0","710,0","683,0"
"3 137,0","2 243,0","1 430,0","1 470,0","372,0","392,0","1 942,0","2 715,0","148,0","114,0","1 057,0","1 348,0","929,0","601,0","78,0","137,0","5 982,0","5 908,0","724,0","683,0"
"2 998,0","2 203,0","1 414,0","1 453,0","368,0","404,0","1 934,0","2 717,0","161,0","120,0","999,0","1 309,0","751,0","562,0","79,0","143,0","5 980,0","5 908,0","727,0","683,0"
"2 760,0","2 178,0","1 437,0","1 436,0","396,0","412,0","1 934,0","2 704,0","171,0","126,0","951,0","1 266,0","652,0","533,0","86,0","150,0","5 956,0","5 804,0","720,0","686,0"
"2 596,0","2 177,0","1 464,0","1 416,0","424,0","404,0","1 842,0","2 693,0","170,0","134,0","915,0","1 211,0","597,0","501,0","121,0","158,0","5 907,0","5 804,0","692,0","686,0"
"2 483,0","2 177,0","1 483,0","1 396,0","428,0","400,0","1 813,0","2 682,0","173,0","143,0","868,0","1 155,0","540,0","474,0","154,0","167,0","5 884,0","5 804,0","653,0","686,0"
"2 438,0","2 174,0","1 426,0","1 370,0","404,0","392,0","1 789,0","2 670,0","179,0","153,0","803,0","1 101,0","436,0","441,0","167,0","175,0","5 835,0","5 804,0","668,0","686,0"
"2 341,0","2 336,0","1 411,0","1 353,0","380,0","344,0","1 822,0","1 709,0","155,0","195,0","756,0","810,0","305,0","451,0","185,0","221,0","5 762,0","5 337,0","666,0","722,0"
"2 288,0","2 288,0","1 372,0","1 309,0","384,0","352,0","1 855,0","1 694,0","152,0","191,0","714,0","761,0","249,0","412,0","225,0","242,0","5 667,0","5 337,0","660,0","722,0"
"2 264,0","2 251,0","1 353,0","1 270,0","412,0","356,0","1 766,0","1 694,0","159,0","173,0","676,0","720,0","240,0","383,0","262,0","258,0","5 576,0","5 337,0","647,0","722,0"
"2 255,0","2 231,0","1 336,0","1 237,0","472,0","368,0","1 776,0","1 698,0","162,0","171,0","634,0","681,0","264,0","352,0","262,0","267,0","5 477,0","5 337,0","573,0","722,0"
"2 280,0","2 213,0","1 285,0","1 221,0","492,0","384,0","1 820,0","1 628,0","170,0","178,0","571,0","650,0","291,0","330,0","290,0","285,0","5 413,0","5 145,0","545,0","656,0"
"2 279,0","2 223,0","1 230,0","1 203,0","496,0","432,0","1 867,0","1 630,0","192,0","181,0","518,0","628,0","288,0","313,0","328,0","308,0","5 399,0","5 145,0","533,0","656,0"
"2 312,0","2 245,0","1 208,0","1 179,0","468,0","436,0","1 943,0","1 674,0","204,0","188,0","518,0","606,0","267,0","295,0","329,0","308,0","5 332,0","5 145,0","551,0","656,0"
"2 291,0","2 260,0","1 202,0","1 153,0","440,0","464,0","1 977,0","1 733,0","207,0","205,0","541,0","586,0","239,0","279,0","313,0","305,0","5 361,0","5 145,0","580,0","656,0"
"2 224,0","2 241,0","1 170,0","1 127,0","416,0","484,0","2 040,0","1 821,0","239,0","215,0","548,0","574,0","246,0","269,0","346,0","314,0","5 384,0","5 007,0","578,0","625,0"
"2 208,0","2 191,0","1 132,0","1 103,0","392,0","492,0","2 073,0","1 907,0","262,0","219,0","579,0","568,0","249,0","251,0","355,0","337,0","5 377,0","5 007,0","559,0","625,0"
"2 199,0","2 169,0","1 088,0","1 079,0","380,0","496,0","2 126,0","1 981,0","266,0","245,0","609,0","563,0","261,0","242,0","356,0","331,0","5 398,0","5 007,0","590,0","625,0"
"2 202,0","2 134,0","1 067,0","1 057,0","396,0","516,0","2 133,0","1 953,0","288,0","264,0","634,0","560,0","256,0","227,0","400,0","357,0","5 464,0","5 007,0","598,0","625,0"
"2 183,0","2 105,0","1 039,0","1 042,0","396,0","532,0","2 180,0","2 018,0","322,0","269,0","644,0","555,0","244,0","216,0","471,0","372,0","5 526,0","5 035,0","607,0","595,0"
"2 099,0","2 054,0","1 028,0","1 035,0","412,0","528,0","2 112,0","2 015,0","331,0","288,0","691,0","556,0","248,0","219,0","428,0","382,0","5 585,0","5 035,0","588,0","595,0"
"2 032,0","1 992,0","982,0","1 031,0","420,0","540,0","2 118,0","1 991,0","348,0","317,0","735,0","563,0","228,0","208,0","381,0","356,0","5 633,0","5 035,0","570,0","595,0"
"1 989,0","1 933,0","962,0","1 028,0","448,0","552,0","2 160,0","1 965,0","336,0","324,0","811,0","570,0","209,0","201,0","379,0","356,0","5 614,0","5 035,0","570,0","595,0"
"1 909,0","1 885,0","953,0","1 026,0","472,0","564,0","2 148,0","1 859,0","345,0","338,0","832,0","577,0","207,0","165,0","394,0","356,0","5 639,0","5 119,0","574,0","578,0"
"1 809,0","1 815,0","954,0","1 027,0","476,0","580,0","2 145,0","1 967,0","353,0","328,0","865,0","591,0","194,0","154,0","405,0","366,0","5 644,0","5 119,0","571,0","578,0"
"1 743,0","1 743,0","975,0","1 028,0","468,0","600,0","2 157,0","1 964,0","348,0","334,0","845,0","603,0","174,0","142,0","403,0","378,0","5 667,0","5 119,0","544,0","578,0"
"1 691,0","1 680,0","996,0","1 029,0","456,0","616,0","2 156,0","2 004,0","356,0","340,0","837,0","774,0","169,0","147,0","394,0","382,0","5 702,0","5 119,0","522,0","578,0"
"1 626,0","1 624,0","1 029,0","1 030,0","488,0","632,0","2 168,0","1 994,0","370,0","337,0","817,0","873,0","181,0","143,0","385,0","386,0","5 786,0","5 311,0","528,0","570,0"
"1 580,0","1 577,0","1 049,0","1 028,0","520,0","656,0","2 188,0","2 004,0","354,0","342,0","787,0","837,0","203,0","129,0","406,0","396,0","5 804,0","5 311,0","565,0","570,0"
"1 560,0","1 544,0","1 057,0","1 026,0","588,0","684,0","2 157,0","1 979,0","333,0","352,0","740,0","802,0","221,0","126,0","432,0","394,0","5 845,0","5 311,0","610,0","570,0"
"1 609,0","1 515,0","1 059,0","1 021,0","648,0","708,0","2 151,0","1 998,0","308,0","338,0","718,0","775,0","196,0","129,0","452,0","407,0","5 872,0","5 311,0","645,0","570,0"
"1 680,0","1 516,0","1 081,0","1 034,0","656,0","728,0","2 173,0","1 969,0","319,0","319,0","712,0","751,0","204,0","144,0","438,0","398,0","5 899,0","5 467,0","624,0","591,0"
"1 699,0","1 514,0","1 092,0","1 023,0","680,0","740,0","2 192,0","1 978,0","330,0","309,0","710,0","690,0","208,0","165,0","373,0","378,0","5 872,0","5 467,0","601,0","591,0"
"1 703,0","1 503,0","1 083,0","1 007,0","652,0","748,0","2 219,0","1 968,0","333,0","316,0","731,0","666,0","218,0","169,0","346,0","359,0","5 793,0","5 467,0","575,0","591,0"
"1 646,0","1 485,0","1 092,0","984,0","668,0","760,0","2 259,0","2 021,0","347,0","318,0","745,0","678,0","221,0","167,0","351,0","354,0","5 772,0","5 467,0","574,0","591,0"
"1 628,0","1 438,0","1 091,0","953,0","624,0","768,0","2 234,0","2 013,0","329,0","312,0","729,0","662,0","178,0","177,0","375,0","357,0","5 781,0","5 536,0","554,0","572,0"
"1 582,0","1 410,0","1 054,0","922,0","548,0","756,0","2 189,0","2 254,0","320,0","300,0","763,0","715,0","147,0","195,0","420,0","371,0","5 745,0","5 536,0","577,0","572,0"
"1 535,0","1 376,0","973,0","897,0","512,0","748,0","2 227,0","2 259,0","284,0","290,0","754,0","725,0","123,0","205,0","423,0","360,0","5 750,0","5 536,0","583,0","572,0"
"1 460,0","1 343,0","908,0","875,0","516,0","732,0","2 259,0","2 264,0","287,0","282,0","710,0","716,0","130,0","208,0","426,0","349,0","5 730,0","5 536,0","593,0","572,0"
"1 417,0","1 293,0","822,0","853,0","536,0","712,0","2 327,0","2 270,0","274,0","275,0","696,0","705,0","154,0","216,0","401,0","341,0","5 679,0","5 562,0","590,0","625,0"
"1 414,0","1 264,0","770,0","833,0","516,0","652,0","2 432,0","2 276,0","258,0","269,0","691,0","692,0","153,0","214,0","370,0","322,0","5 548,0","5 562,0","611,0","625,0"
"1 386,0","1 237,0","738,0","813,0","524,0","588,0","2 374,0","2 282,0","244,0","262,0","702,0","680,0","159,0","216,0","382,0","310,0","5 390,0","5 562,0","617,0","625,0"
"1 332,0","1 198,0","731,0","793,0","508,0","536,0","2 362,0","2 288,0","227,0","257,0","684,0","664,0","160,0","214,0","380,0","300,0","5 159,0","5 562,0","635,0","625,0"
"1 301,0","1 316,0","696,0","775,0","484,0","480,0","2 330,0","2 411,0","228,0","252,0","659,0","652,0","191,0","209,0","408,0","327,0","4 985,0","5 072,0","639,0","674,0"
"1 266,0","1 289,0","677,0","778,0","476,0","428,0","2 312,0","2 404,0","250,0","256,0","632,0","646,0","200,0","205,0","479,0","316,0","4 935,0","5 072,0","625,0","674,0"
"1 231,0","1 263,0","659,0","783,0","480,0","376,0","2 305,0","2 397,0","245,0","260,0","634,0","640,0","169,0","192,0","527,0","306,0","4 955,0","5 072,0","570,0","674,0"
"1 210,0","1 237,0","636,0","789,0","500,0","324,0","2 316,0","2 389,0","250,0","263,0","638,0","637,0","173,0","190,0","520,0","296,0","5 019,0","5 072,0","547,0","674,0"
"1 239,0","1 224,0","622,0","796,0","536,0","276,0","2 261,0","2 415,0","247,0","266,0","653,0","641,0","180,0","181,0","508,0","289,0","5 082,0","5 017,0","526,0","659,0"
