seed,approach,component,weight,mean,variance,bic
51,zero_mean,1,0.7451501152489199,0.0,0.3489845581369469,29888.456409111066
51,zero_mean,2,0.021260971355199373,0.0,26671.626749428517,29888.456409111066
51,zero_mean,3,0.2335889133958777,0.0,17.664240309226916,29888.456409111066
51,sklearn,1,0.99975,-0.1626128427139933,187.67585960333935,64652.4989709153
51,sklearn,2,0.00012500000000000027,1280.801779187515,1.0037252902984619e-06,64652.4989709153
51,sklearn,3,0.00012500000000000027,-1195.7888885212828,1.0032596290111541e-06,64652.4989709153
