seed,approach,component,weight,mean,variance,bic
50,zero_mean,1,0.7683242449817084,0.0,0.01739082312110009,5110.40274727447
50,zero_mean,2,0.017677019756455043,0.0,8756.963898371172,5110.40274727447
50,zero_mean,3,0.21399873526183677,0.0,0.955125247955381,5110.40274727447
50,sklearn,1,0.9210023523931644,0.00476048313131133,0.04827500750723186,8173.907442638393
50,sklearn,2,0.00012500000000000046,994.7231397446594,1.0023283064365387e-06,8173.907442638393
50,sklearn,3,0.07887264760683556,0.33573294217761,396.55248118829223,8173.907442638393
