seed,objective,max_rho
42,1.2547002800425505e6,0.066
43,1.2553077979641387e6,0.0485
44,1.254742244075258e6,0.0745
45,1.2551480158570972e6,0.0545
46,1.2550198082530224e6,0.056
47,1.2546873690551277e6,0.0785
48,1.2545374098051824e6,0.078
49,1.2547340558794665e6,0.0665
50,1.2549884248929985e6,0.056
51,1.2545276267304288e6,0.0805
